2023-10-26 16:25:25 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:25 | 443.955µs | 127.0.0.1 | GET | 200 |/group1/reload?action=get&key=1c2c219e-a392-56b3-d6b8-66ddc754bf9f
2023-10-26 16:25:27 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:27 | 208.842µs | 127.0.0.1 | POST | 200 |/group1/big/upload/
2023-10-26 16:25:27 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:27 | 833.7µs | 127.0.0.1 | PATCH | 200 |/group1/big/upload/47aae8954994017787e8d0ec24d7ae4e
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 535.026µs | 127.0.0.1 | GET | 200 |/group1/big/upload/47aae8954994017787e8d0ec24d7ae4e
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 2.660989ms | 127.0.0.1 | POST | 200 |/group1/upload
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 186.282µs | 127.0.0.1 | GET | 200 |/group1/haystack/4/211,0,240641,.txt?name=211%2C0%2C240641%2C.txt&download=1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 103.66855ms | 127.0.0.1 | POST | 200 |/group1/upload
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 4.177607ms | 127.0.0.1 | GET | 200 |/group1/default/20231026/16/25/4/0_big.txt?name=0_big.txt&download=1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 97.571µs | 127.0.0.1 | POST | 200 |/group1/check_file_exist
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 45.231µs | 127.0.0.1 | GET | 200 |/group1/check_file_exist?md5=5a2595f6e540f0e47298b469b835d2b1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 29.381µs | 127.0.0.1 | GET | 200 |/group1/index
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 16.193141ms | 127.0.0.1 | GET | 200 |/group1/status
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 14.29267ms | 127.0.0.1 | GET | 200 |/group1/stat
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 47.831µs | 127.0.0.1 | GET | 200 |/group1/repair?force=1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 55.59µs | 127.0.0.1 | GET | 200 |/group1/repair_stat
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 38.54µs | 127.0.0.1 | GET | 200 |/group1/sync?force=1&date=20231026
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 55.691µs | 127.0.0.1 | GET | 200 |/group1/delete?md5=5a2595f6e540f0e47298b469b835d2b1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 9.191µs | 127.0.0.1 | GET | 200 |/group1/repair_fileinfo
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 144.192µs | 127.0.0.1 | GET | 200 |/group1
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 191.572µs | 127.0.0.1 | GET | 200 |/group1/list_dir
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 53.901µs | 127.0.0.1 | GET | 200 |/group1/gen_google_code?secret=N7IET373HB2C5M6D
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 60.06µs | 127.0.0.1 | GET | 200 |/group1/gen_google_secret
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 10.92µs | 127.0.0.1 | GET | 200 |/group1/receive_md5s?md5s=xx
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 35.68µs | 127.0.0.1 | GET | 200 |/group1/remove_empty_dir
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 36.83µs | 127.0.0.1 | GET | 200 |/group1/backup
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 105.371µs | 127.0.0.1 | GET | 200 |/group1/search?kw=ab
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 19.96µs | 127.0.0.1 | GET | 200 |/group1/reload=get
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 22.651µs | 127.0.0.1 | GET | 200 |/group1/back
2023-10-26 16:25:28 [INF] [handler.go:34] [command-line-arguments.HttpHandler.ServeHTTP.func1] [Access] 2023/10/26 - 16:25:28 | 27.74µs | 127.0.0.1 | GET | 200 |/group1/report
